Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Gene	Gene ID	Alteration	high/low-throughput
Eubacterium rectale	39491	gm0316	species	Cd40	21939	inhibition	low-throughput
Eubacterium rectale	39491	gm0316	species	Il6	16193	inhibition	low-throughput
Eubacterium rectale	39491	gm0316	species	Il12b	16160	inhibition	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Ffar3	233080	activation	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Ffar2	233079	activation	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Nfkb1	18033	activation	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Hcar2	80885	activation	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Foxp3	20371	activation	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Cd40	21939	inhibition	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Il6	16193	inhibition	low-throughput
Anaerobutyricum hallii	39488	gm0776	species	Il12b	16160	inhibition	low-throughput
Ruminococcus bromii	40518	gm0588	species	Ffar3	233080	activation	low-throughput
Ruminococcus bromii	40518	gm0588	species	Ffar2	233079	activation	low-throughput
Ruminococcus bromii	40518	gm0588	species	Nfkb1	18033	activation	low-throughput
Ruminococcus bromii	40518	gm0588	species	Hcar2	80885	activation	low-throughput
Ruminococcus bromii	40518	gm0588	species	Foxp3	20371	activation	low-throughput
Ruminococcus bromii	40518	gm0588	species	Cd40	21939	inhibition	low-throughput
Ruminococcus bromii	40518	gm0588	species	Il6	16193	inhibition	low-throughput
Ruminococcus bromii	40518	gm0588	species	Il12b	16160	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Ffar3	233080	activation	low-throughput
Bacteroidetes	976	gm0090	phylum	Ffar2	233079	activation	low-throughput
Bacteroidetes	976	gm0090	phylum	Nfkb1	18033	activation	low-throughput
Bacteroidetes	976	gm0090	phylum	Pdcd1lg2	58205	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Cd86	12524	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Cd40	21939	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Il6	16193	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Il12b	16160	inhibition	low-throughput
Escherichia coli BW25113	679895	gm0895	strain	Il10ra	16154	activation	low-throughput
Escherichia coli BW25113	679895	gm0895	strain	Il10ra	16154	activation	low-throughput
Escherichia coli BW25113	679895	gm0895	strain	Ahr	11622	activation	low-throughput
Escherichia coli JW5619		gm1042	strain	Il10ra	16154	activation	low-throughput
Escherichia coli JW5619		gm1042	strain	Il10ra	16154	activation	low-throughput
Escherichia coli JW5619		gm1042	strain	Ahr	11622	activation	low-throughput
Enterococcus faecalis OG1RF	474186	gm0943	strain	Mapk3	26417	inhibition	low-throughput
Enterococcus faecalis OG1RF	474186	gm0943	strain	Mapk1	26413	inhibition	low-throughput
Enterococcus faecalis ms2		gm1045	strain	Pdcd6ip	18571	inhibition	low-throughput
Bacteroidetes	976	gm0090	phylum	Gcg	14526	activation	low-throughput
Adlercreutzia equolifaciens MT4s-5		gm1054	strain	Ace2	70008	inhibition	low-throughput
Adlercreutzia equolifaciens MT4s-5		gm1054	strain	Ace2	70008	inhibition	low-throughput
Adlercreutzia equolifaciens MT4s-5		gm1054	strain	Ace2	70008	inhibition	low-throughput
Flavonifractor plautii MT42		gm1055	strain	Ace2	70008	inhibition	low-throughput
Flavonifractor plautii MT42		gm1055	strain	Ace2	70008	inhibition	low-throughput
Flavonifractor plautii MT42		gm1055	strain	Ace2	70008	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Il6	16193	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Il17a	16171	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Il12a	16159	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Il12b	16160	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Ifng	15978	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Cxcl1	14825	inhibition	low-throughput
Citrobacter rodentium	67825	gm0813	species	Cxcl2	20310	inhibition	low-throughput
Bifidobacterium longum	216816	gm0112	species	Sult2a1	20859	activation	low-throughput
Bifidobacterium longum	216816	gm0112	species	Sult2a2	100043194	activation	low-throughput
Bifidobacterium longum	216816	gm0112	species	Sult2a3	629203	activation	low-throughput
Faecalibacterium Prausnitzii A2-165	411483	gm0932	strain	Nfkb1	18033	inhibition	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	Nfkb1	18033	inhibition	low-throughput
Lactobacillus paracasei	1597	gm0766	species	Nfkb1	18033	inhibition	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	Il4	16189	inhibition	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	Ifng	15978	inhibition	low-throughput
Lactobacillus rhamnosus	47715	gm0408	species	Il6	16193	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il4	16189	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ifng	15978	inhibition	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Il6	16193	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Il6	16193	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	il1b	16176	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Il12b	16160	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Tnf	21926	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Cxcl1	14825	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Ifng	15978	inhibition	low-throughput
Enterococcus durans EP1		gm1082	strain	Il17a	16171	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Ppara	19013	activation	low-throughput
Clostridium butyricum B1		gm1087	strain	Pparg	19016	activation	low-throughput
Clostridium butyricum B1		gm1087	strain	Tnf	21926	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Ccl2	20296	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Il1b	16176	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Il2	16183	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Il6	16193	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Il10	16153	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Foxp3	20371	activation	low-throughput
Clostridium butyricum B1		gm1087	strain	Il4	16189	activation	low-throughput
Clostridium butyricum B1		gm1087	strain	Il22	50929	activation	low-throughput
Clostridium butyricum B1		gm1087	strain	Ifng	15978	inhibition	low-throughput
Clostridium butyricum B1		gm1087	strain	Il17a	16171	inhibition	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Trpv1	7442	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Ucp1	7350	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Adrb3	11556	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Ppargc1a	10891	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Cpt1b	1375	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Prdm16	63976	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Tbx1	6899	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Trpv1	7442	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Ucp1	7350	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Adrb3	11556	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Ppargc1a	10891	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Cpt1b	1375	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Prdm16	63976	activation	low-throughput
Lactobacillus plantarum	1590	gm0405	species	Tbx1	6899	activation	low-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Angptl4	57875	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Ffar2	233079	inhibition	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hdac3	15183	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Hdac5	15184	activation	high-throughput
Faecalibacterium prausnitzii	853	gm0327	species	Pparg	19016	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hdac3	15183	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Angptl4	57875	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ffar2	233079	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hdac3	15183	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Hdac5	15184	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Pparg	19016	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Sim1	20464	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Stat6	20852	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Skil	20482	inhibition	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Ptf1a	19213	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Rara	19401	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Arnt2	11864	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Isl1	16392	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Nr3c1	14815	activation	high-throughput
Akkermansia muciniphila	239935	gm0030	species	Trim24	21848	activation	high-throughput
