Gut Microbiota	Gut Microbiata NCBI ID	Gut Microbiota ID	Classification	Substrate	Substrate PubChem CID	Substrate  HMDB ID	Substrate ChEBI ID	Metabolite	Metabolite PubChem CID	Metabolite HMDB ID	Metabolite ChEBI ID
Prevotella	838	gm0535	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Paraprevotella	577309	gm0500	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Myristic acid	11005	HMDB0000806	CHEBI:28875
Paraprevotella	577309	gm0500	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Paraprevotella	577309	gm0500	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Benzoic acid	243	HMDB0001870	CHEBI:30746
Paraprevotella	577309	gm0500	genus	Cholesterol	5997	HMDB0000067	CHEBI:16113	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Clostridium	1485	gm0187	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Oscillibacter	459786	gm0484	genus					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Lachnospiraceae	186803	gm0386	family					3-Phenylpropionic acid	107	HMDB0000764	CHEBI:28631
Clostridium	1485	gm0187	genus					Benzoic acid	243	HMDB0001870	CHEBI:30746
Oscillibacter	459786	gm0484	genus					Benzoic acid	243	HMDB0001870	CHEBI:30746
Lachnospiraceae	186803	gm0386	family					Benzoic acid	243	HMDB0001870	CHEBI:30746
Asaccharobacter celatus JCM 14811		gm0886	strain	Epigallocatechin	72277	HMDB0038361	CHEBI:42255	4'-dehydroxylated (−)-epigallocatechin			
Asaccharobacter celatus JCM 14811		gm0886	strain	Epigallocatechin	72277	HMDB0038361	CHEBI:42255	"1-(3,4,5-trihydroxyphenyl)-3-(2,4,6trihydroxyphenyl)propan-2-ol"			
Adlercreutzia equolifaciens JCM 14793		gm0887	strain	Epigallocatechin	72277	HMDB0038361	CHEBI:42255	4'-dehydroxylated (−)-epigallocatechin			
Asaccharobacter celatus JCM 14811		gm0886	strain	4'-dehydroxylated (−)-epigallocatechin				"1-(3,5-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol"			
Adlercreutzia equolifaciens JCM 14793		gm0887	strain					"1-(3,4,5-trihydroxyphenyl)-3-(2,4,6trihydroxyphenyl)propan-2-ol"			
Adlercreutzia equolifaciens JCM 14793		gm0887	strain					4'-dehydroxylated isomer (−)-gallocatechin			
Adlercreutzia equolifaciens JCM 14793		gm0887	strain	"1-(3,4,5-trihydroxyphenyl)-3-(2,4,6trihydroxyphenyl)propan-2-ol"				"1-(3,5-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol"			
Slackia equolifaciens JCM  16059		gm0888	strain	(-)-Gallocatechin	9882981		CHEBI:71225	4'-dehydroxylated isomer (−)-gallocatechin			
Slackia equolifaciens JCM  16059		gm0888	strain	(-)-Gallocatechin	9882981		CHEBI:71225	"1-(3,5-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propan-2-ol"			
Slackia equolifaciens JCM  16059		gm0888	strain	(-)-Gallocatechin	9882981		CHEBI:71225	"1-(3,4,5-trihydroxyphenyl)-3-(2,4,6trihydroxyphenyl)propan-2-ol"			
Clostridium butyricum  CBM588		gm0889	strain					Acetate	175		CHEBI:30089
Clostridium scindens	29347	gm0208	species					Bile acid	439520		CHEBI:22868
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii  ATCC 27766		gm0899	strain					Butyrate	104775		CHEBI:17968
Faecalibacterium prausnitzii S3L/3		gm0901	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Benzoic acid	243	HMDB0001870	CHEBI:30746
Faecalibacterium prausnitzii S3L/3		gm0901	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Faecalibacterium prausnitzii S3L/3		gm0901	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Eubacterium rectale DSM 17629	657318	gm0907	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Benzoic acid	243	HMDB0001870	CHEBI:30746
Eubacterium rectale DSM 17629	657318	gm0907	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Eubacterium rectale DSM 17629	657318	gm0907	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Roseburia intestinalis DSM 14610		gm0909	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Benzoic acid	243	HMDB0001870	CHEBI:30746
Roseburia intestinalis DSM 14610		gm0909	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Roseburia intestinalis DSM 14610		gm0909	strain	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Bififidobacterium thetaiotaomicron DSM 2079	818	gm0900	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Bacteroides thetaiotaomicron	818	gm0087	species	D-Glucose	5793	HMDB0000122	CHEBI:4167	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Bacteroides eggerthii DSM 20697	483216	gm0903	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Bacteroides eggerthii DSM 20697	483216	gm0903	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Bacteroides eggerthii DSM 20697	483216	gm0903	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Phenyalanine			
Eubacterium hallii DSM 17630	105843	gm0906	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Phenylacetic acid	999	HMDB0000209	CHEBI:30745
Eubacterium hallii DSM 17630	105843	gm0906	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Eubacterium hallii DSM 17630	105843	gm0906	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Eubacterium hallii DSM 17630	105843	gm0906	strain	D-Glucose	5793	HMDB0000122	CHEBI:4167	Phenyalanine			
Intestinibacter bartlettii	261299	gm0779	species	D-Glucose	5793	HMDB0000122	CHEBI:4167	Phenylacetic acid	999	HMDB0000209	CHEBI:30745
Intestinibacter bartlettii	261299	gm0779	species	D-Glucose	5793	HMDB0000122	CHEBI:4167	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Intestinibacter bartlettii	261299	gm0779	species	D-Glucose	5793	HMDB0000122	CHEBI:4167	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Benzoic acid	243	HMDB0001870	CHEBI:30746
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Eubacterium rectale DSM 17629	657318	gm0907	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Benzoic acid	243	HMDB0001870	CHEBI:30746
Eubacterium rectale DSM 17629	657318	gm0907	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Eubacterium rectale DSM 17629	657318	gm0907	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Roseburia intestinalis DSM 14610		gm0909	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Benzoic acid	243	HMDB0001870	CHEBI:30746
Roseburia intestinalis DSM 14610		gm0909	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Roseburia intestinalis DSM 14610		gm0909	strain	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Benzoic acid	243	HMDB0001870	CHEBI:30746
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Eubacterium rectale DSM 17629	657318	gm0907	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Benzoic acid	243	HMDB0001870	CHEBI:30746
Eubacterium rectale DSM 17629	657318	gm0907	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Eubacterium rectale DSM 17629	657318	gm0907	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Faecalibacterium prausnitzii	853	gm0327	species	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Benzoic acid	243	HMDB0001870	CHEBI:30746
Faecalibacterium prausnitzii	853	gm0327	species	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Roseburia intestinalis DSM 14610		gm0909	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Benzoic acid	243	HMDB0001870	CHEBI:30746
Roseburia intestinalis DSM 14610		gm0909	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	4-Hydroxybenzoic acid	135	HMDB0000500	CHEBI:30763
Roseburia intestinalis DSM 14610		gm0909	strain	Phenylacetic acid	999	HMDB0000209	CHEBI:30745	Indole-3-carboxylic acid	69867	HMDB0003320	CHEBI:24809
Bififidobacterium thetaiotaomicron DSM 2079	818	gm0900	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Bififidobacterium thetaiotaomicron DSM 2079	818	gm0900	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Butyrivibrio fibrisolvens	831	gm0782	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Butyrivibrio fibrisolvens	831	gm0782	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Faecalibacterium prausnitzii S3L/3		gm0901	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Bifidobacterium adolescentis  L2-32	411481	gm0902	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Bifidobacterium adolescentis  L2-32	411481	gm0902	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Bacteroides eggerthii DSM 20697	483216	gm0903	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Bacteroides eggerthii DSM 20697	483216	gm0903	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Ruminococcus torques L2-14	657313	gm0904	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Ruminococcus torques L2-14	657313	gm0904	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Ruminococcus torques L2-14	657313	gm0904	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Faecalitalea cylindroides T2-87	717960	gm0905	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Faecalitalea cylindroides T2-87	717960	gm0905	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Faecalitalea cylindroides T2-87	717960	gm0905	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Eubacterium hallii DSM 17630	105843	gm0906	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Eubacterium hallii DSM 17630	105843	gm0906	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Eubacterium hallii DSM 17630	105843	gm0906	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Eubacterium rectale DSM 17629	657318	gm0907	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Eubacterium rectale DSM 17629	657318	gm0907	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Eubacterium rectale DSM 17629	657318	gm0907	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Bifidobacterium adolescentis  L2-32	411481	gm0902	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Anaerostipes caccae L1-92	411490	gm0908	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Anaerostipes caccae L1-92	411490	gm0908	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Anaerostipes caccae L1-92	411490	gm0908	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Roseburia intestinalis DSM 14610		gm0909	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Roseburia intestinalis DSM 14610		gm0909	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Roseburia intestinalis DSM 14610		gm0909	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Roseburia intestinalis	166486	gm0574	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	391904	gm0910	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Intestinibacter bartlettii	261299	gm0779	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-pyruvic acid	803	HMDB0060484	CHEBI:29750
Intestinibacter bartlettii	261299	gm0779	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-lactic acid	92904		CHEBI:24813
Intestinibacter bartlettii	261299	gm0779	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	1-Methylindole	11781		
Intestinibacter bartlettii	261299	gm0779	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Intestinibacter bartlettii	261299	gm0779	species	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Roseburia inulinivorans DSM 16841	622312	gm0911	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Roseburia inulinivorans DSM 16841	622312	gm0911	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Roseburia inulinivorans DSM 16841	622312	gm0911	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Anaerostipes hadrus Ss2/1		gm0912	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Indole-3-acetic acid	802	HMDB0000197	CHEBI:16411
Anaerostipes hadrus Ss2/1		gm0912	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	Phenyalanine			
Anaerostipes hadrus Ss2/1		gm0912	strain	Tryptophan	6305	HMDB0000929	CHEBI:16828	4-Hydroxyphenylacetic acid	127	HMDB0000020	CHEBI:18101
Faecalibacterium prausnitzii S3L/3		gm0901	strain	phenyalanine				Phenylpyruvic acid	997	HMDB0000205	CHEBI:30851
Faecalibacterium prausnitzii S3L/3		gm0901	strain	phenyalanine				Atrolactic acid	1303	HMDB0142137	CHEBI:50392
Eubacterium rectale DSM 17629	657318	gm0907	strain	phenyalanine				Phenylpyruvic acid	997	HMDB0000205	CHEBI:30851
Eubacterium rectale DSM 17629	657318	gm0907	strain	phenyalanine				Atrolactic acid	1303	HMDB0142137	CHEBI:50392
Roseburia intestinalis DSM 14610		gm0909	strain	phenyalanine				Phenylpyruvic acid	997	HMDB0000205	CHEBI:30851
Roseburia intestinalis DSM 14610		gm0909	strain	phenyalanine				Atrolactic acid	1303	HMDB0142137	CHEBI:50392
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain					Acetate	175		CHEBI:30089
Bififidobacterium thetaiotaomicron  ATCC 29148		gm0913	strain					Propionate	104745		CHEBI:17272
Faecalibacterium prausnitzii DSM 17677		gm0914	strain	Acetate	175		CHEBI:30089	Butyrate	104775		CHEBI:17968
Ruminococcus	1263	gm0587	genus					Creatine	586	HMDB0000064	CHEBI:16919
Ruminococcus	1263	gm0587	genus					5-Hydroxyindole-3-acetic acid	1826	HMDB0000763	CHEBI:27823
Ruminococcus	1263	gm0587	genus					Tyramine	5610	HMDB0000306	CHEBI:15760
Ruminococcus	1263	gm0587	genus					Valine	6287	HMDB0000883	CHEBI:16414
Ruminococcus	1263	gm0587	genus					l-Isoleucine	6306	HMDB0000172	CHEBI:17191
Ruminococcus	1263	gm0587	genus					Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Ruminococcus	1263	gm0587	genus					Ursodeoxycholic acid	31401	HMDB0000946	CHEBI:9907
Ruminococcus	1263	gm0587	genus					2-Hydroxy-2-methylbutanenitrile	97823		CHEBI:60954
Ruminococcus	1263	gm0587	genus					N-Acetylputrescine	122356	HMDB0002064	CHEBI:17768
Ruminococcus	1263	gm0587	genus					Proline	145742	HMDB0000162	CHEBI:17203
Ruminococcus	1263	gm0587	genus					Betonicine	164642	HMDB0029412	CHEBI:85533
Ruminococcus	1263	gm0587	genus					Cholic acid	221493	HMDB0000619	CHEBI:16359
Ruminococcus	1263	gm0587	genus					Deoxycholic acid	222528	HMDB0000626	CHEBI:28834
Ruminococcus	1263	gm0587	genus					N-Acetyl-D-Mannosamine	439281		CHEBI:63153
Ruminococcus	1263	gm0587	genus					2-Formaminobenzoylacetate	440807		CHEBI:1098
Ruminococcus	1263	gm0587	genus					12-Ketolithocholic acid	3080612	HMDB0000328	CHEBI:139134
Ruminococcus	1263	gm0587	genus					Hyocholate	92805		CHEBI:133661
Clostridium	1485	gm0187	genus					Hypoxanthine	135398638	HMDB0000157	CHEBI:17368
Lachnospiraceae	186803	gm0386	family					Creatine	586	HMDB0000064	CHEBI:16919
Lachnospiraceae	186803	gm0386	family					Chenodeoxycholic acid	10133	HMDB0000518	CHEBI:16755
Lachnospiraceae	186803	gm0386	family					4-Acetamidobutyric acid	18189	HMDB0003681	CHEBI:17645
Lachnospiraceae	186803	gm0386	family					N(6)-Methyllysine	164795	HMDB0002038	CHEBI:17604
Lachnospiraceae	186803	gm0386	family					N-Acetyl-D-Mannosamine	439281		CHEBI:63153
Lachnospiraceae	186803	gm0386	family					N-Isovaleroylglycine	546304	HMDB0000678	CHEBI:70984
Lachnospiraceae	186803	gm0386	family					12-Ketolithocholic acid	3080612	HMDB0000328	CHEBI:139134
